input,2050_KM,2050_KGG_midden,2050_KGG_hoog,2050_GP_basis,2050_GP_midden,2050_GP_hoog,2030_KM,2030_KGG_midden,2030_KGG_hoog,2030_GP_basis,2030_GP_midden,2030_GP_hoog,2035_KM,2035_KGG_midden,2035_KGG_hoog,2035_GP_basis,2035_GP_midden,2035_GP_hoog,2040_KM,2040_KGG_midden,2040_KGG_hoog,2040_GP_basis,2040_GP_midden,2040_GP_hoog
households_insulation_level_apartments_1945_1964,,178.2,158.4,,178.2,158.4,,208.85,201.82,,208.85,201.82,,201.19,190.97,,201.19,190.97,,193.52,180.11,198,193.52,180.11
households_insulation_level_apartments_1965_1984,,153,136,,153,136,,179.16,173.12,,179.16,173.12,,172.62,163.84,,172.62,163.84,,166.08,154.56,170,166.08,154.56
households_insulation_level_apartments_1985_2004,,122.4,108.8,,122.4,108.8,,143.17,138.34,,143.17,138.34,,137.98,130.96,,137.98,130.96,,132.79,123.57,136,132.79,123.57
households_insulation_level_apartments_2005_present,,91.8,81.6,,91.8,81.6,,107.37,103.75,,107.37,103.75,,103.47,98.21,,103.47,98.21,,99.58,92.67,102,99.58,92.67
households_insulation_level_apartments_before_1945,,243.9,216.8,,243.9,216.8,,286.08,276.46,,286.08,276.46,,275.53,261.55,,275.53,261.55,,264.99,246.63,271,264.99,246.63
households_insulation_level_apartments_future,,49.5,44,,49.5,44,,59.5,57.55,,59.5,57.55,,57,54.16,,57,54.16,,54.5,50.77,55,54.5,50.77
households_insulation_level_detached_houses_1945_1964,,186.3,165.6,,186.3,165.6,,223.04,215.7,,223.04,215.7,,213.86,203.17,,213.86,203.17,,204.67,190.65,207,204.67,190.65
households_insulation_level_detached_houses_1965_1984,,154.8,137.6,,154.8,137.6,,185.59,179.49,,185.59,179.49,,177.89,169.01,,177.89,169.01,,170.19,158.54,172,170.19,158.54
households_insulation_level_detached_houses_1985_2004,,122.4,108.8,,122.4,108.8,,146.92,142.09,,146.92,142.09,,140.79,133.77,,140.79,133.77,,134.66,125.44,136,134.66,125.44
households_insulation_level_detached_houses_2005_present,,89.1,79.2,,89.1,79.2,,106.69,103.18,,106.69,103.18,,102.3,97.19,,102.3,97.19,,97.9,91.19,99,97.9,91.19
households_insulation_level_detached_houses_before_1945,,226.8,201.6,,226.8,201.6,,271.53,262.58,,271.53,262.58,,260.34,247.34,,260.34,247.34,,249.16,232.09,252,249.16,232.09
households_insulation_level_detached_houses_future,,46.8,41.6,,46.8,41.6,,52.09,50.25,,52.09,50.25,,50.77,48.08,,50.77,48.08,,49.45,45.92,52,49.45,45.92
households_insulation_level_semi_detached_houses_1945_1964,,172.8,153.6,,172.8,153.6,,201.34,194.53,,201.34,194.53,,194.21,184.3,,194.21,184.3,,187.07,174.06,192,187.07,174.06
households_insulation_level_semi_detached_houses_1965_1984,,149.4,132.8,,149.4,132.8,,173.89,168,,173.89,168,,167.77,159.2,,167.77,159.2,,161.64,150.4,166,161.64,150.4
households_insulation_level_semi_detached_houses_1985_2004,,123.3,109.6,,123.3,109.6,,143.17,138.31,,143.17,138.31,,138.2,131.13,,138.2,131.13,,133.23,123.95,137,133.23,123.95
households_insulation_level_semi_detached_houses_2005_present,,90.9,80.8,,90.9,80.8,,105.96,102.37,,105.96,102.37,,102.19,96.98,,102.19,96.98,,98.43,91.59,101,98.43,91.59
households_insulation_level_semi_detached_houses_before_1945,,214.2,190.4,,214.2,190.4,,249.53,241.09,,249.53,241.09,,240.7,228.42,,240.7,228.42,,231.87,215.74,238,231.87,215.74
households_insulation_level_semi_detached_houses_future,,45.9,40.8,,45.9,40.8,,51.77,49.96,,51.77,49.96,,50.3,47.67,,50.3,47.67,,48.84,45.38,51,48.84,45.38
households_insulation_level_terraced_houses_1945_1964,,234.9,208.8,,234.9,208.8,,264.41,255.15,,264.41,255.15,,257.04,243.56,,257.04,243.56,,249.66,231.98,261,249.66,231.98
households_insulation_level_terraced_houses_1965_1984,,182.7,162.4,,182.7,162.4,,205.45,198.25,,205.45,198.25,,199.76,189.28,,199.76,189.28,,194.07,180.32,203,194.07,180.32
households_insulation_level_terraced_houses_1985_2004,,126,112,,126,112,,142.01,137.04,,142.01,137.04,,138,130.78,,138,130.78,,134,124.52,140,134,124.52
households_insulation_level_terraced_houses_2005_present,,97.2,86.4,,97.2,86.4,,109.51,105.68,,109.51,105.68,,106.44,100.86,,106.44,100.86,,103.36,96.04,108,103.36,96.04
households_insulation_level_terraced_houses_before_1945,,254.7,226.4,,254.7,226.4,,287.16,277.11,,287.16,277.11,,279.04,264.43,,279.04,264.43,,270.93,251.76,283,270.93,251.76
households_insulation_level_terraced_houses_future,,46.8,41.6,,46.8,41.6,,52.09,50.25,,52.09,50.25,,50.77,48.08,,50.77,48.08,,49.45,45.92,52,49.45,45.92
households_lighting_efficient_fluorescent_electricity_share,,,,,,,,,,,,,,,,,,,,,,3.5,3.5,3.5
households_lighting_incandescent_electricity_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
households_lighting_led_electricity_share,,,,,,,,,,,,,,,,,,,,,,96.5,96.5,96.5
households_number_of_apartments_1945_1964,,,,,,,,,,,,,,,,,,,,,,330249,330249,330249
households_number_of_apartments_1965_1984,,,,,,,,,,,,,,,,,,,,,,729923,729923,729923
households_number_of_apartments_1985_2004,,,,,,,,,,,,,,,,,,,,,,606352,606352,606352
households_number_of_apartments_2005_present,,,,,,,,,,,,,,,,,,,,,,488170,488170,488170
households_number_of_apartments_before_1945,,,,,,,,,,,,,,,,,,,,,,518629,518629,518629
households_number_of_apartments_future,,,,,,,,,,,,,,,,,,,,,,767742,767742,767742
households_number_of_detached_houses_1945_1964,,,,,,,,,,,,,,,,,,,,,,122233,122233,122233
households_number_of_detached_houses_1965_1984,,,,,,,,,,,,,,,,,,,,,,218979,218979,218979
households_number_of_detached_houses_1985_2004,,,,,,,,,,,,,,,,,,,,,,247785,247785,247785
households_number_of_detached_houses_2005_present,,,,,,,,,,,,,,,,,,,,,,118330,118330,118330
households_number_of_detached_houses_before_1945,,,,,,,,,,,,,,,,,,,,,,277419,277419,277419
households_number_of_detached_houses_future,,,,,,,,,,,,,,,,,,,,,,272864,272864,272864
households_number_of_inhabitants,,,,,,,,,,,,,,,,,,,,,,19.950186,19.950186,19.950186
households_number_of_semi_detached_houses_1945_1964,,,,,,,,,,,,,,,,,,,,,,284633,284633,284633
households_number_of_semi_detached_houses_1965_1984,,,,,,,,,,,,,,,,,,,,,,557452,557452,557452
households_number_of_semi_detached_houses_1985_2004,,,,,,,,,,,,,,,,,,,,,,376483,376483,376483
households_number_of_semi_detached_houses_2005_present,,,,,,,,,,,,,,,,,,,,,,178722,178722,178722
households_number_of_semi_detached_houses_before_1945,,,,,,,,,,,,,,,,,,,,,,298016,298016,298016
households_number_of_semi_detached_houses_future,,,,,,,,,,,,,,,,,,,,,,218846,218846,218846
households_number_of_terraced_houses_1945_1964,,,,,,,,,,,,,,,,,,,,,,241509,241509,241509
households_number_of_terraced_houses_1965_1984,,,,,,,,,,,,,,,,,,,,,,835486,835486,835486
households_number_of_terraced_houses_1985_2004,,,,,,,,,,,,,,,,,,,,,,585062,585062,585062
households_number_of_terraced_houses_2005_present,,,,,,,,,,,,,,,,,,,,,,250132,250132,250132
households_number_of_terraced_houses_before_1945,,,,,,,,,,,,,,,,,,,,,,317353,317353,317353
households_number_of_terraced_houses_future,,,,,,,,,,,,,,,,,,,,,,852826,852826,852826
households_useful_demand_cooking_per_person,,,,,,,,,,,,,,,,,,,,,,0,0,0
households_useful_demand_electric_appliances,,,,,,,,,,,,,,,,,,,,,,0,0,0
households_useful_demand_for_cooling,,,,,,,,,,,,,,,,,,,,,,9,9,9
households_useful_demand_hot_water_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
households_useful_demand_lighting,,,,,,,,,,,,,,,,,,,,,,0,0,0
households_water_heater_solar_thermal_share,,,,,,,,,,,,,,,,,,,,,,25,25,25
industry_aggregated_other_industry_coal_share_energetic,,,,,,,,,,,,,,,,,,,,,,0.757308842,0.757308842,0.757308842
industry_aggregated_other_industry_coal_share_non_energetic,,,,,,,,,,,,,,,,,,,,,,11.85495687,11.85495687,11.85495687
industry_aggregated_other_industry_cokes_share_energetic,,,,,,,,,,,,,,,,,,,,,,0.897479748,0.897479748,0.897479748
industry_aggregated_other_industry_cokes_share_non_energetic,,,,,,,,,,,,,,,,,,,,,,0.794359661,0.794359661,0.794359661
industry_aggregated_other_industry_crude_oil_share_energetic,,,,,,,,,,,,,,,,,,,,,,0.983848096,0.983848096,0.983848096
industry_aggregated_other_industry_crude_oil_share_non_energetic,,,,,,,,,,,,,,,,,,,,,,87.35067881,87.35067881,87.35067881
industry_aggregated_other_industry_electricity_share,,,,,,,,,,,,,,,,,,,,,,35.42166149,35.42166149,35.42166149
industry_aggregated_other_industry_hydrogen_share_energetic,,,,,,,,,,,,,,,,,,,,,,0,0,0
industry_aggregated_other_industry_hydrogen_share_non_energetic,,,,,,,,,,,,,,,,,,,,,,0,0,0
industry_aggregated_other_industry_network_gas_share_energetic,,,,,,,,,,,,,,,,,,,,,,56.68194786,56.68194786,56.68194786
industry_aggregated_other_industry_network_gas_share_non_energetic,,,,,,,,,,,,,,,,,,,,,,4.66E-06,4.66E-06,4.66E-06
industry_aggregated_other_industry_useable_heat_share,,,,,,,,,,,,,,,,,,,,,,2.520851923,2.520851923,2.520851923
industry_aggregated_other_industry_wood_pellets_share_energetic,,,,,,,,,,,,,,,,,,,,,,2.736902041,2.736902041,2.736902041
industry_aggregated_other_industry_wood_pellets_share_non_energetic,,,,,,,,,,,,,,,,,,,,,,0,0,0
industry_aluminium_carbothermalreduction_electricity_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
industry_aluminium_electrolysis_bat_electricity_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
industry_aluminium_electrolysis_current_electricity_share,,,,,,,,,,,,,,,,,,,,,,64.28571429,64.28571429,64.28571429
industry_aluminium_production,,,,,,,,,,,,,,,,,,,,,,100,100,100
industry_aluminium_smeltoven_electricity_share,,,,,,,,,,,,,,,,,,,,,,35.71428571,35.71428571,35.71428571
industry_bio_kerosene_in_crude_oil_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
industry_biodiesel_in_crude_oil_share,,,,,,,,,,,,,,,,,,,,,,0.053542609,0.053542609,0.053542609
industry_chemicals_fertilizers_burner_coal_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
industry_chemicals_fertilizers_burner_crude_oil_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
industry_chemicals_fertilizers_burner_hydrogen_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
industry_chemicals_fertilizers_burner_network_gas_share,,,,,,,,,,,,,,,,,,,,,,78.71517028,78.71517028,78.71517028
industry_chemicals_fertilizers_burner_wood_pellets_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
industry_chemicals_fertilizers_central_ammonia_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
industry_chemicals_fertilizers_local_ammonia_central_hydrogen_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
industry_chemicals_fertilizers_local_ammonia_local_hydrogen_share,,,,,,,,,,,,,,,,,,,,,,100,100,100
industry_chemicals_other_burner_coal_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
industry_chemicals_other_burner_crude_oil_share,,,,,,,,,,,,,,,,,,,,,,45.32586095,45.32586095,45.32586095
industry_chemicals_other_burner_hydrogen_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
industry_chemicals_other_burner_network_gas_share,,,,,,,,,,,,,,,,,,,,,,24.27274672,24.27274672,24.27274672
industry_chemicals_other_burner_wood_pellets_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
industry_chemicals_other_coal_non_energetic_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
industry_chemicals_other_crude_oil_non_energetic_share,,,,,,,,,,,,,,,,,,,,,,88.80153902,88.80153902,88.80153902
industry_chemicals_other_heater_electricity_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
industry_chemicals_other_heatpump_water_water_electricity_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
industry_chemicals_other_hydrogen_non_energetic_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
industry_chemicals_other_network_gas_non_energetic_share,,,,,,,,,,,,,,,,,,,,,,11.19846098,11.19846098,11.19846098
industry_chemicals_other_steam_recompression_electricity_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
industry_chemicals_other_wood_pellets_non_energetic_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
industry_chemicals_refineries_burner_coal_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
industry_chemicals_refineries_burner_crude_oil_share,,,,,,,,,,,,,,,,,,,,,,64.21928437,64.21928437,64.21928437
industry_chemicals_refineries_burner_hydrogen_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
industry_chemicals_refineries_burner_network_gas_share,,,,,,,,,,,,,,,,,,,,,,27.81383382,27.81383382,27.81383382
industry_chemicals_refineries_burner_wood_pellets_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
industry_diesel_in_crude_oil_share,,,,,,,,,,,,,,,,,,,,,,0.010196109,0.010196109,0.010196109
industry_final_demand_for_chemical_fertilizers_steam_hot_water_share,,,,,,,,,,,,,,,,,,,,,,21.28482972,21.28482972,21.28482972
industry_final_demand_for_chemical_other_steam_hot_water_share,,,,,,,,,,,,,,,,,,,,,,30.40139233,30.40139233,30.40139233
industry_final_demand_for_chemical_refineries_steam_hot_water_share,,,,,,,,,,,,,,,,,,,,,,7.966881818,7.966881818,7.966881818
industry_final_demand_for_other_food_steam_hot_water_share,,,,,,,,,,,,,,,,,,,,,,4.442099123,4.442099123,4.442099123
industry_final_demand_for_other_paper_steam_hot_water_share,,,,,,,,,,,,,,,,,,,,,,21.27146273,21.27146273,21.27146273
industry_kerosene_in_crude_oil_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
industry_lpg_in_crude_oil_share,,,,,,,,,,,,,,,,,,,,,,0.78979543,0.78979543,0.78979543
industry_other_bio_oil_in_crude_oil_share,,,,,,,,,,,,,,,,,,,,,,0.554264092,0.554264092,0.554264092
industry_other_food_burner_coal_share,,,,,,,,,,,,,,,,,,,,,,1.976891124,1.976891124,1.976891124
industry_other_food_burner_crude_oil_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
industry_other_food_burner_hydrogen_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
industry_other_food_burner_network_gas_share,,,,,,,,,,,,,,,,,,,,,,93.58100975,93.58100975,93.58100975
industry_other_food_burner_wood_pellets_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
industry_other_food_heater_electricity_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
industry_other_metals_process_electricity_efficiency,,,,,,,,,,,,,,,,,,,,,,0,0,0
industry_other_metals_process_heat_useable_heat_efficiency,,,,,,,,,,,,,,,,,,,,,,0,0,0
industry_other_metals_production,,,,,,,,,,,,,,,,,,,,,,100,100,100
industry_other_oil_in_crude_oil_share,,,,,,,,,,,,,,,,,,,,,,98.59220176,98.59220176,98.59220176
industry_other_paper_burner_coal_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
industry_other_paper_burner_crude_oil_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
industry_other_paper_burner_hydrogen_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
industry_other_paper_burner_network_gas_share,,,,,,,,,,,,,,,,,,,,,,78.72853727,78.72853727,78.72853727
industry_other_paper_burner_wood_pellets_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
industry_other_paper_heater_electricity_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
industry_steel_blastfurnace_bof_share,,,,,,,,,,,,,,,,,,,,,,100,100,100
industry_steel_cyclonefurnace_bof_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
industry_steel_cyclonefurnace_bof_wood_pellets_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
industry_steel_dri_hydrogen_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
industry_steel_dri_network_gas_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
industry_steel_production,,,,,,,,,,,,,,,,,,,,,,100,100,100
industry_steel_scrap_hbi_eaf_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
industry_useful_demand_for_aggregated_other_electricity_efficiency,,,,,,,,,,,,,,,,,,,,,,0,0,0
industry_useful_demand_for_aggregated_other_energetic,,,,,,,,,,,,,,,,,,,,,,100,100,100
industry_useful_demand_for_aggregated_other_non_energetic,,,,,,,,,,,,,,,,,,,,,,100,100,100
industry_useful_demand_for_aggregated_other_useable_heat_efficiency,,,,,,,,,,,,,,,,,,,,,,0,0,0
industry_useful_demand_for_chemical_fertilizers,,,,,,,,,,,,,,,,,,,,,,100,100,100
industry_useful_demand_for_chemical_fertilizers_electricity_efficiency,,,,,,,,,,,,,,,,,,,,,,0,0,0
industry_useful_demand_for_chemical_fertilizers_useable_heat_efficiency,,,,,,,,,,,,,,,,,,,,,,0,0,0
industry_useful_demand_for_chemical_other,,,,,,,,,,,,,,,,,,,,,,100,100,100
industry_useful_demand_for_chemical_other_electricity_efficiency,,,,,,,,,,,,,,,,,,,,,,0,0,0
industry_useful_demand_for_chemical_other_useable_heat_efficiency,,,,,,,,,,,,,,,,,,,,,,0,0,0
industry_useful_demand_for_chemical_refineries,,,,,,,,,,,,,,,,,,,,,,100,100,100
industry_useful_demand_for_chemical_refineries_electricity_efficiency,,,,,,,,,,,,,,,,,,,,,,0,0,0
industry_useful_demand_for_chemical_refineries_useable_heat_efficiency,,,,,,,,,,,,,,,,,,,,,,0,0,0
industry_useful_demand_for_other_food,,,,,,,,,,,,,,,,,,,,,,100,100,100
industry_useful_demand_for_other_food_electricity_efficiency,,,,,,,,,,,,,,,,,,,,,,0,0,0
industry_useful_demand_for_other_food_useable_heat_efficiency,,,,,,,,,,,,,,,,,,,,,,0,0,0
industry_useful_demand_for_other_ict,,,,,,,,,,,,,,,,,,,,,,1367,1367,1367
industry_useful_demand_for_other_ict_efficiency,,,,,,,,,,,,,,,,,,,,,,0,0,0
industry_useful_demand_for_other_paper,,,,,,,,,,,,,,,,,,,,,,100,100,100
industry_useful_demand_for_other_paper_electricity_efficiency,,,,,,,,,,,,,,,,,,,,,,0,0,0
industry_useful_demand_for_other_paper_useable_heat_efficiency,,,,,,,,,,,,,,,,,,,,,,0,0,0
input_capacity_of_industry_chemical_flexibility_load_shifting_electricity,,,,,,,,,,,,,,,,,,,,,,15,15,15
input_capacity_of_industry_metal_flexibility_load_shifting_electricity,,,,,,,,,,,,,,,,,,,,,,17.5,17.5,17.5
input_capacity_of_industry_other_flexibility_load_shifting_electricity,,,,,,,,,,,,,,,,,,,,,,12.5,12.5,12.5
input_capacity_of_industry_other_ict_flexibility_load_shifting_electricity,,,,,,,,,,,,,,,,,,,,,,10,10,10
investment_costs_ammonia_reforming,,,,,,,,,,,,,,,,,,,,,,26.76966303,26.76966303,26.76966303
investment_costs_co2_capture_industry,,,,,,,,,,,,,,,,,,,,,,0,0,0
investment_costs_co2_ccs,,,,,,,,,,,,,,,,,,,,,,-66.34615385,-66.34615385,-66.34615385
investment_costs_co2_storage,,,,,,,,,,,,,,,,,,,,,,0,0,0
investment_costs_co2_transport,,,,,,,,,,,,,,,,,,,,,,0,0,0
investment_costs_co2_utilisation,,,,,,,,,,,,,,,,,,,,,,0,0,0
investment_costs_combustion_biomass_plants,,,,,,,,,,,,,,,,,,,,,,-31.818182,-31.818182,-31.818182
investment_costs_combustion_coal_plant,,,,,,,,,,,,,,,,,,,,,,0,0,0
investment_costs_combustion_gas_plant,,,,,,,,,,,,,,,,,,,,,,0.13351135,0.13351135,0.13351135
investment_costs_combustion_hydrogen_plant,,,,,,,,,,,,,,,,,,,,,,0,0,0
investment_costs_combustion_oil_plant,,,,,,,,,,,,,,,,,,,,,,0,0,0
investment_costs_combustion_waste_incinerator,,,,,,,,,,,,,,,,,,,,,,0,0,0
investment_costs_electric_heat_pumps,,,,,,,,,,,,,,,,,,,,,,-49,-49,-49
investment_costs_energy_flexibility_hv_opac_electricity,,,,,,,,,,,,,,,,,,,,,,0,0,0
investment_costs_energy_flexibility_mv_batteries_electricity,,,,,,,,,,,,,,,,,,,,,,0,0,0
investment_costs_flexibility_p2h_electricity,,,,,,,,,,,,,,,,,,,,,,1.69491525,1.69491525,1.69491525
investment_costs_gas_heat_pumps,,,,,,,,,,,,,,,,,,,,,,0,0,0
investment_costs_geothermal,,,,,,,,,,,,,,,,,,,,,,-88.392788,-88.392788,-88.392788
investment_costs_households_flexibility_p2p_electricity,,,,,,,,,,,,,,,,,,,,,,-72,-72,-72
investment_costs_hydrogen_electrolysis,,,,,,,,,,,,,,,,,,,,,,56.9010017,56.9010017,56.9010017
investment_costs_nuclear_nuclear_plant,,,,,,,,,,,,,,,,,,,,,,-11.5,-11.5,-11.5
investment_costs_nuclear_small_modular_reactor,,,,,,,,,,,,,,,,,,,,,,0,0,0
investment_costs_solar_solar_panels,,,,,,,,,,,,,,,,,,,,,,-68.082664,-68.082664,-68.082664
investment_costs_solar_thermal,,,,,,,,,,,,,,,,,,,,,,0,0,0
investment_costs_water_river,,,,,,,,,,,,,,,,,,,,,,-4,-4,-4
investment_costs_wind_offshore,,,,,,,,,,,,,,,,,,,,,,-74.372117,-74.372117,-74.372117
investment_costs_wind_onshore,,,,,,,,,,,,,,,,,,,,,,-48.885694,-48.885694,-48.885694
land_use_impact_visual_wind_inland_large_scale,,,,,,,,,,,,,,,,,,,,,,100,100,100
land_use_impact_visual_wind_inland_small_scale,,,,,,,,,,,,,,,,,,,,,,0,0,0
max_demand_of_biogenic_waste,,,,,,,,,,,,,,,,,,,,,,21.38166,21.38166,21.38166
max_demand_of_dry_biomass,,,,,,,,,,,,,,,,,,,,,,213.8,213.8,213.8
max_demand_of_oily_biomass,,,,,,,,,,,,,,,,,,,,,,0,0,0
max_demand_of_wet_biomass,,,,,,,,,,,,,,,,,,,,,,92.3,92.3,92.3
merit_order_subtype_of_energy_power_nuclear_uranium_oxide,,,,,,,,,,,,,,,,,,,,,,0,0,0
natural_gas_total_share,,,,,,,,,,,,,,,,,,,,,,10.1,10.1,10.1
om_costs_co2_capture_industry,,,,,,,,,,,,,,,,,,,,,,0,0,0
om_costs_co2_ccs,,,,,,,,,,,,,,,,,,,,,,0,0,0
om_costs_co2_storage,,,,,,,,,,,,,,,,,,,,,,0,0,0
om_costs_co2_transport,,,,,,,,,,,,,,,,,,,,,,0,0,0
om_costs_co2_utilisation,,,,,,,,,,,,,,,,,,,,,,0,0,0
om_costs_combustion_biomass_plant,,,,,,,,,,,,,,,,,,,,,,-84.455959,-84.455959,-84.455959
om_costs_combustion_coal_plant,,,,,,,,,,,,,,,,,,,,,,0,0,0
om_costs_combustion_gas_plant,,,,,,,,,,,,,,,,,,,,,,0,0,0
om_costs_combustion_hydrogen_plant,,,,,,,,,,,,,,,,,,,,,,0,0,0
om_costs_combustion_oil_plant,,,,,,,,,,,,,,,,,,,,,,0,0,0
om_costs_combustion_waste_incinerator,,,,,,,,,,,,,,,,,,,,,,0,0,0
om_costs_geothermal,,,,,,,,,,,,,,,,,,,,,,-39,-39,-39
om_costs_nuclear_nuclear_plant,,,,,,,,,,,,,,,,,,,,,,57.2,57.2,57.2
om_costs_nuclear_small_modular_reactor,,,,,,,,,,,,,,,,,,,,,,0,0,0
om_costs_solar_thermal,,,,,,,,,,,,,,,,,,,,,,0,0,0
om_costs_water_river,,,,,,,,,,,,,,,,,,,,,,0,0,0
om_costs_wind_offshore,,,,,,,,,,,,,,,,,,,,,,-77.616116,-77.616116,-77.616116
om_costs_wind_onshore,,,,,,,,,,,,,,,,,,,,,,-63.864607,-63.864607,-63.864607
other_useful_demand_electricity,,,,,,,,,,,,,,,,,,,,,,-5,-5,-5
other_useful_demand_non_energetic,,,,,,,,,,,,,,,,,,,,,,-5,-5,-5
other_useful_demand_useable_heat,,,,,,,,,,,,,,,,,,,,,,-5,-5,-5
output_of_energy_production_synthetic_kerosene_must_run,,,,,,,,,,,,,,,,,,,,,,0,0,0
output_of_energy_production_synthetic_methanol,,,,,,,,,,,,,,,,,,,,,,0,0,0
propane_gas_total_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
relative_capacity_of_electrolyser,,,,,,,,,,,,,,,,,,,,,,48.85993485,48.85993485,48.85993485
relative_capacity_of_offshore_cable,,,,,,,,,,,,,,,,,,,,,,51.14006515,51.14006515,51.14006515
settings_enable_storage_optimisation_energy_flexibility_flow_batteries_electricity,,,,,,,,,,,,,,,,,,,,,,1,1,1
settings_enable_storage_optimisation_energy_flexibility_hv_opac_electricity,,,,,,,,,,,,,,,,,,,,,,1,1,1
settings_enable_storage_optimisation_energy_flexibility_mv_batteries_electricity,,,,,,,,,,,,,,,,,,,,,,1,1,1
settings_enable_storage_optimisation_energy_flexibility_pumped_storage_electricity,,,,,,,,,,,,,,,,,,,,,,1,1,1
settings_enable_storage_optimisation_households_flexibility_p2p_electricity,,,,,,,,,,,,,,,,,,,,,,optimizing_storage_households,optimizing_storage_households,optimizing_storage_households
settings_enable_storage_optimisation_transport_car_flexibility_p2p_electricity,,,,,,,,,,,,,,,,,,,,,,1,1,1
settings_weather_curve_set,,,,,,,,,,,,,,,,,,,,,,default,default,default
share_of_energy_chp_combined_cycle_ht_network_gas,,,,,,,,,,,,,,,,,,,,,,0,0,0
share_of_energy_chp_combined_cycle_mt_network_gas,,,,,,,,,,,,,,,,,,,,,,100,100,100
share_of_energy_chp_local_engine_ht_biogas,,,,,,,,,,,,,,,,,,,,,,0,0,0
share_of_energy_chp_local_engine_ht_network_gas,,,,,,,,,,,,,,,,,,,,,,0,0,0
share_of_energy_chp_local_engine_mt_biogas,,,,,,,,,,,,,,,,,,,,,,100,100,100
share_of_energy_chp_local_engine_mt_network_gas,,,,,,,,,,,,,,,,,,,,,,100,100,100
share_of_energy_chp_local_ht_wood_pellets_ccs_dispatchable,,,,,,,,,,,,,,,,,,,,,,0,0,0
share_of_energy_chp_local_ht_wood_pellets_ccs_must_run,,,,,,,,,,,,,,,,,,,,,,0,0,0
share_of_energy_chp_local_ht_wood_pellets_dispatchable,,,,,,,,,,,,,,,,,,,,,,0,0,0
share_of_energy_chp_local_ht_wood_pellets_must_run,,,,,,,,,,,,,,,,,,,,,,0,0,0
share_of_energy_chp_local_mt_wood_pellets_ccs_dispatchable,,,,,,,,,,,,,,,,,,,,,,0,0,0
share_of_energy_chp_local_mt_wood_pellets_ccs_must_run,,,,,,,,,,,,,,,,,,,,,,0,0,0
share_of_energy_chp_local_mt_wood_pellets_dispatchable,,,,,,,,,,,,,,,,,,,,,,100,100,100
share_of_energy_chp_local_mt_wood_pellets_must_run,,,,,,,,,,,,,,,,,,,,,,100,100,100
share_of_energy_chp_supercritical_ccs_ht_waste_mix,,,,,,,,,,,,,,,,,,,,,,0,0,0
share_of_energy_chp_supercritical_ccs_mt_waste_mix,,,,,,,,,,,,,,,,,,,,,,0,0,0
share_of_energy_chp_supercritical_ht_waste_mix,,,,,,,,,,,,,,,,,,,,,,100,100,100
share_of_energy_chp_supercritical_mt_waste_mix,,,,,,,,,,,,,,,,,,,,,,0,0,0
share_of_energy_chp_ultra_supercritical_cofiring_ht_coal,,,,,,,,,,,,,,,,,,,,,,0,0,0
share_of_energy_chp_ultra_supercritical_cofiring_mt_coal,,,,,,,,,,,,,,,,,,,,,,100,100,100
share_of_energy_chp_ultra_supercritical_ht_coal,,,,,,,,,,,,,,,,,,,,,,0,0,0
share_of_energy_chp_ultra_supercritical_mt_coal,,,,,,,,,,,,,,,,,,,,,,100,100,100
